,media,mediana,std,min,max
rms,0.13853493333783554,0.08945646107100766,0.14749225095223814,0.0,1.0
zcr,0.32634172432841657,0.27301808751459694,0.22517112024936203,0.0,1.0
freq_fundamental,0.21009313578619482,0.14915185590647356,0.20799281721575422,0.0,1.0
freq_maxima,0.6856034284240559,0.6949510573286022,0.30415446217173386,0.0,1.0
freq_minima,0.024470919170483177,0.0,0.10092059999692005,0.0,1.0
centroide,0.3857258891208654,0.35544984123863915,0.19211352175927704,0.0,1.0
bandwidth,0.5706585143828173,0.5749429663710754,0.16198215059479446,0.0,1.0
rolloff,0.5949079250579937,0.6042390703443212,0.22253646735110136,0.0,1.0
flatness,0.17751121709874548,0.11284644862104146,0.1840494284434123,0.0,1.0
mfcc_1,0.5880534638045389,0.5984163742753484,0.14817835356672135,0.0,1.0
mfcc_2,0.5126041423401955,0.5271869617464002,0.1661584809116496,0.0,1.0
mfcc_3,0.72955611822484,0.7585667910810232,0.14522504465659378,0.0,1.0
mfcc_4,0.6697932780762081,0.6734182017254371,0.10604700489463631,0.0,1.0
mfcc_5,0.4777250377730009,0.4854778478583681,0.12940967916938573,0.0,1.0
mfcc_6,0.637578631883302,0.6375819617541821,0.10672572725997356,0.0,1.0
mfcc_7,0.5281455966335707,0.5433926939885082,0.1339362220256496,0.0,1.0
mfcc_8,0.5100284372948829,0.5165813752368704,0.153972856562168,0.0,1.0
mfcc_9,0.5668393984926637,0.564701532487605,0.10892354458359428,0.0,1.0
mfcc_10,0.46383245042205756,0.4706258868617532,0.11424508899651907,0.0,1.0
mfcc_11,0.5231652470741711,0.5306833310920744,0.10247049293745794,0.0,1.0
mfcc_12,0.5898270751527779,0.5844887757865216,0.1204209507064903,0.0,1.0
mfcc_13,0.593096737769127,0.6114868462567387,0.140760596103613,0.0,1.0
